englishquestion,hausaquestion,englishhausaquestion,answer,image_id
what is in front of the blinds?,menene a gaban makafi?,menene in front of the blinds?,ornamental_plant,image1108
how many black chairs are there?,Bakar kujeru nawa ne?,how many bakaken kujeru are there?,two,image470
what is stuck on the wall?,me ya makale a bango?,me ya makale on the wall?,light_switch,image1403
what color is the table below the black chandelier?,wane launi ne teburin da ke ?asa da ba?ar fata chandelier?,what color ne teburin da ke ?asa da black chandelier?,white,image249
what is the object on the floor below the counter?,menene abu a kasa a kasa counter?,what is the object a kasa below the counter?,chair,image670
what is on the wall above the computer?,menene akan bangon da ke saman kwamfutar?,what is on the wall da ke saman computer?,picture,image438
what is on the right side of the coffee table?,menene a gefen dama na teburin kofi?,what is on the gefen dama na coffee table?,chair,image383
what is inside the sink?,menene a cikin kwandon shara?,what is a cikin sink?,plastic_tub,image130
what is on the wall?,me ke jikin bango?,what is ke jikin wall?,picture,image1322
what is on the right side table?,menene akan teburin gefen dama?,what is on teburin gefen dama?,"television, dvd_player",image920
what is in front of the window?,menene a gaban taga?,what is a gaban window?,carton,image800
what is above the table?,me ke sama da tebur?,what is ke sama da table?,chandelier,image767
what objects shadow is on the wall?,menene inuwar abubuwa a bango?,what objects shadow a bango?,decoration_item,image1250
what is in between the lamp and the tissue box?,me ke tsakanin fitilar da akwatin kyalle?,me ke tsakanin the lamp and the tissue box?,alarm_clock,image1118
what is at the left side on the table?,menene a gefen hagu akan tebur?,what is at the left side akan tebur?,lamp,image1305
what is on the left side of the sink?,menene a gefen hagu na nutse?,menene on the left side of the sink?,bottle,image684
what is found to the left side of the cot?,me aka samu a gefen hagu na gadon?,what is found a gefen hagu of the cot?,cabinet,image972
how many beds are there?,gadaje nawa ne?,how many beds a wurin?,two,image1117
what is the colour of the blanket?,menene kalar bargon?,what is the kalar bargon?,red,image1141
what is on the paper?,menene akan takarda?,what is akan paper?,pen,image392
how many monitors are there on the table?,nawa ne masu saka idanu akan tebur?,how many monitors akan tebur?,three,image387
what is beneath the candle holder?,menene a ?ar?ashin abin ri?e kyandir?,me nene is beneath the candle holder?,decorative_plate,image1438
which object is more?,wanne abu yafi?,which abu is more?,table,image301
how many shelves are there in the right stand?,rumfuna nawa ne a tsaye daidai?,rumfuna nawa ne in the right stand?,three,image101
what is the colour of the drawer?,menene kalar drawer?,what is the launi of the drawer?,gray,image978
what is on the cutting board?,me ke kan allo?,me ke kan cutting board?,knife,image861
what are the objects found on the left side bookshelf?,Menene abubuwan da aka samu a rumbun littattafai na gefen hagu?,what are the abubuwan da aka samu on the left side bookshelf?,"toys_basket, photo, books",image1145
how many photos are stuck on the wall?,hotuna nawa ne suka makale a bango?,how many hotuna are stuck on the wall?,three,image1176
what is placed on the table?,abin da aka sanya a kan tebur?,me nene is placed on the table?,bowl,image223
what is on the table?,menene akan teburin?,me nene is on the table?,"laptop, mouse, books, calculator",image83
how many squer tables are there?,Tables na squer nawa ne?,how many squer tables a wurin?,one,image342
what is the cloth hanging?,menene yadin da ke rataye?,what is the cloth da ke rataye?,towel,image652
what is the colour of the glass on the table?,menene kalar gilashin akan tebur?,what is the colour of the glass akan tebur?,"blue, white",image815
what is the white object which is in the top middle?,menene farin abu wanda yake a saman tsakiya?,what is the farin abu which is in the top middle?,microwave,image867
what is to the opposite of the sofa?,menene akasin sofa?,menene to the opposite of the sofa?,table,image1204
what is the colour of the wall?,menene kalar bangon?,what is the kalar bangon?,blue,image1090
what is at the corner of the window?,menene a kusurwar taga?,menene at the corner of the window?,printer,image614
what is available near the lamp?,Menene samuwa a kusa da fitilar?,what is available kusa da fitilar?,bed,image1024
what is on the stove burner?,me ke kan murhu?,what is ke kan stove burner?,plate,image131
what are on the wall on the left side of the green curtain but not behind the garbage bin?,menene a bangon gefen hagu na koren labule amma ba bayan kwandon shara ba?,what are on the wall on the left side of the green curtain but not behind the kwandon shara ba?,"clock, telephone",image8
what is on the wall?,me ke jikin bango?,what is ke jikin wall?,plant,image465
what is above sink?,me ke sama nutse?,me ke above sink?,mirror,image503
what is in front of the globe?,menene a gaban duniya?,menene in front of the globe?,plastic_tray,image312
what is the round colorful object on the floor?,menene zagaye kalar abu a kasa?,menene the round colorful object on the floor?,rug,image316
what is behind the bed?,me ke bayan gadon?,what is ke bayan bed?,basket,image1093
what is at the right bottom?,menene a gindin dama?,menene at the right bottom?,tv_stand,image1316
how many drawers are there?,aljihuna nawa ne?,how many drawers a wurin?,eight,image792
what is the object above the sink?,menene abin da ke sama da nutsewa?,what is the object da ke sama da sink?,mirror,image648
what is behind the lamp?,menene bayan fitilar?,what is behind fitilar?,picture,image1114
what is on the right side of the sink?,menene a gefen dama na nutsewa?,what is a gefen dama of the sink?,tissue_roll,image412
how many laptops are there?,kwamfutar tafi-da-gidanka nawa ne?,how many laptops a wurin?,one,image376
what is between the white mug and the paper cups on the counter?,menene tsakanin farar mug da kofunan takarda a kan tebur?,what is between the white mug and the paper cups a kan counter?,ornamental_plant,image124
what is above the towel?,me ke sama da tawul?,what is above da tawul?,blinds,image693
what is the object on the floor right of the chair?,menene abun dake kasa dama kujera?,what is the object dake kasa right of the kujera?,cabinet,image967
what is leaning on the wall?,me ke jingina jikin bango?,what is leaning a bango?,bicycle,image1283
what is the object on the floor in the doorway?,menene abinda ke kasa a kofar gidan?,what is the object da ke kasa in the doorway?,toy_chair,image98
what objects are found around the knife rack?,Wadanne abubuwa ne aka samu a kusa da rumbun wuka?,what objects aka samu a kusa da knife rack?,"telephone, chair",image855
what is near the airconditionerg?,menene kusa da airconditionerg?,what is kusa da airconditionerg?,vase,image138
what is at top of the table?,me ke saman teburin?,what is at top of the teburin?,tissue_box,image157
what is to the left of the chairs?,me hannun hagu na kujeru?,what is to the left of the kujeru?,cabinet,image1387
how many dark brown chairs are there around the dark brown table?,Kujeru nawa duhu launin ruwan kasa ne a kusa da tebur mai duhu?,how many dark brown chairs a kusa da dark brown table?,six,image1408
what is above the stool?,menene sama da stool?,what is sama da stool?,show_piece,image1300
what is on the drawer table?,menene akan teburin aljihun tebur?,what is akan drawer table?,hat,image1054
what are the things on the cabinet?,menene abubuwa a majalisar ministocin?,what are the things a kan cabinet?,books,image1092
what is in front of the kitchen island?,menene a gaban tsibiri na kicin?,me ke gaban kitchen island?,garbage_bin,image123
what is stuck on the top of the sink?,me ya makale a saman kwandon?,what is stuck a saman sink?,mirror,image663
how many drawers are there?,aljihuna nawa ne?,how many drawers a wurin?,four,image1251
how many drawers are there?,aljihuna nawa ne?,how many drawers a wurin?,six,image970
what is the colour of the broom?,menene kalar tsintsiya?,what is the kalar tsintsiya?,yellow,image832
what is above the bathtub?,me ke sama da baho?,what is above da baho?,window,image698
what is beneath the table?,me ke ?ar?ashin teburin?,what is beneath da teburin?,stool,image756
how many books are displayed in the black rack?,littattafai nawa ne aka nuna a cikin ba?ar fata?,how many books aka nuna in the black rack?,six,image87
what is in front of the table?,me ke gaban teburin?,what is ke gaban teburin?,bag,image626
what is the colour of the towel?,menene kalar tawul?,what is the kalar tawul,brown,image659
how many blue dustbins are there?,nawa blue dustbins akwai?,how many blue dustbins a wurin?,two,image28
how many cupboards are on the wall?,kwanduna nawa ne akan bango?,how many cupboards akan bango?,three,image13
what is in front of bathtub?,me ke gaban kwanon wanka?,me ke gaban bathtub?,toilet,image722
what is to the right of the rack on the wall?,menene hannun dama na tarkacen bangon?,what is to hannun dama of the rack on the wall?,light_switch,image1293
what is behind the monitor?,me ke bayan duban?,what is a bayan  monitor?,window,image603
what color is the lamp shade base on the night stand on the left side of the bed?,wane launi ne gindin inuwar fitila akan tsayawar dare a gefen hagu na gado?,what color is the lamp shade base on the night stand a gefen hagu na gado?,red,image982
how many knobs are there in the oven?,dun?ule nawa ne a cikin tanda?,how many knobs a cikin tanda?,three,image827
how many machines are there?,inji guda nawa ne?,how many inji are there?,three,image109
what are stuck on the wall?,me ke makale a bango?,what are stuck a bango?,photo,image1280
what is on the table?,menene akan teburin?,me nene  on the table?,bowl,image1119
what are the objects on the bed?,menene abubuwan da ke kan gado?,what are the objects da ke kan gado?,"pillow, blanket",image65
what is beneath the blinds?,Menene a ?ar?ashin makafi?,me nene beneath the blinds?,plastic_tub,image1103
what colour shirt is the man wearing?,wane kalar riga mutumin yake sanye?,what colour shirt is the mutumin wearing?,white,image545
how many frames are on the wall of the kitchen?,Firam nawa ne a bangon kicin?,how many frames a bangon kicin?,two,image207
what is left side of the sofa?,menene gefen hagu na kujera?,what is left side na kujera?,table,image43
what is the object on the floor left of the counter?,Menene abun da ke ?asan hagu na counter?,what is the object da ke ?asan hagu of the counter?,toilet,image503
what is the colour of the wall?,menene kalar bangon?,what is the kalar bangon?,blue,image1057
what is the left bottom?,menene kasan hagu?,Me nene to the left bottom?,plant_pot,image1305
what is on the piano?,menene akan piano?,what is akan piano?,basket,image1282
what are the objects on the bed?,menene abubuwan da ke kan gado?,what are the objects da ke kan gado?,"pillow, blanket",image1166
what is the colour of the object found on the table?,menene launin abin da aka samo akan tebur?,what is the colour of the object found akan tebur?,blue,image849
how many ovens are there?,tanda nawa ne?,how many ovens a wurin?,one,image780
what is on the right side of the electrical kettle?,menene a gefen dama na kettle na lantarki?,what is a gefen dama of the electrical kettle?,bottle_of_liquid,image785
what is behind the chair?,me ke bayan kujera?,what is behind the Kujera?,door,image1310
what is to the right of the tv stand?,menene hannun dama na tashar talabijin?,what is ta hannun dama of the tv stand?,speaker,image169
what is the colour of the screen?,menene kalar allo?,what is the kalar screen din?,green,image8
how many pictures are stuck around the clock?,hotuna nawa ne suka makale a kowane lokaci?,how many hotuna suka makale around the clock?,five,image13
what is in between the candle sticks and lamp?,menene tsakanin sandunan kyandir da fitila?,menene tsakanin candle sticks and lamp?,banana,image52
what is near the tissue roll?,me ke kusa da nadi?,what is ke kusa da tissue roll?,container,image413
what is behind the flower vase?,menene bayan gilashin furen?,menene a bayan flower vase?,curtain,image1388
what is to the left side?,menene gefen hagu?,what is to the gefen hagu?,window,image1248
what is on the sofa?,menene akan sofa?,what is akan sofa?,pillow,image151
what is the colour of the symbols on the picture on the wall?,menene kalar alamomin dake kan hoton bangon?,what is the colour of the symbols dake kan hoton bango?,purple,image1062
what are the objects found on the table?,menene abubuwan da aka samo akan tebur?,what are the objects found akan tebur?,"file, telephone, papers, clothes",image1141
what is left of bed?,me ya rage na gado?,what is left of gado?,papers,image532
what is the colour of the chair?,menene kalar kujera?,what is the colour of the kujera?,gray,image890
what color is the armchair on the right side of the door way?,wanne launi kujera kujera a gefen dama na hanyar ?ofar?,what color is the armchair a gefen dama ne door way?,brown,image171
how many pillows are there on the bed?,matashin kai nawa ne akan gado?,how many pillows are there akan gado?,five,image1094
what color is the light above the door at the end of the room?,wane launi ne hasken saman ?ofar a ?arshen ?akin?,what color is the hasken saman kofar at the end of the room?,pink,image275
what is hung on the wall?,me aka rataye a bango?,what is hung a bango?,wall_decoration,image1026
what is on the right side of the bottle of liquid?,menene a gefen dama na kwalaben ruwa?,what is on the right side na kwalaben ruwa?,plate,image835
what color is the file container on the filing cabinet?,wane launi akwatin fayil ne a kan ma'ajiyar fayil?,what color is the akwatin fayil on the filing cabinet?,white,image552
what is on the table?,menene akan teburin?,what is akan teburin?,papers,image617
what is the object on the wall left and right of the window?,menene abin da ke bangon hagu da dama na taga?,what is abin da ke bangon hagu and right of the window?,photo,image913
what is found between the sofas?,me ake samu tsakanin sofas?,what is ake samu between the sofas?,television,image1232
what is on the shelf?,menene akan shiryayye?,what is akan shelf?,books,image585
what is on the wall?,me ke jikin bango?,what is ke jikin wall?,"picture, picture",image1423
what object is found below the storage rack?,Wane abu ne aka samo a ?ar?ashin rumbun ajiya?,what object aka sam below the storage rack?,oven,image827
how many stools are?,nawa ne stools?,how many stools a wurin?,two,image263
what is the colour of the oven?,menene kalar tanda?,what is the kalar oven?,black,image845
what is above the guitar?,menene sama da guitar?,what is sama da guitar?,toy,image323
what is on the left side of the table?,menene a gefen hagu na teburin?,what is on the left side na teburin?,door,image579
what is on the chair?,menene akan kujera?,what is on the chair?,guitar_case,image1332
what are stuck on the wall?,me ke makale a bango?,what are stuck a bango?,photo,image1430
what is the object on the floor left of the room divider?,menene abinda ke kasan hagu na mai raba dakin?,what is abinda ke kasan hagu of the room divider?,water_dispenser,image836
what is on the table?,menene akan teburin?,what is akan teburin?,decorative_item,image1321
what is to the left?,menene hagu?,what is to the hagu?,tree_sculpture,image168
what is on the wall?,me ke jikin bango?,what is ke jikin wall?,projector_screen,image19
what are on the table cloth?,menene akan teburin teburin?,what are akan teburin cloth?,"newspapers, bowl",image772
what is the object on the table in the corner?,menene abin da ke kan tebur a kusurwa?,what is the object da ke kan tebur in the corner?,lamp,image1349
what is on the left side of the cupboard?,me ke gefen hagu na kwandon?,me ke gefen hagu of the cupboard?,pillow,image1189
what is found to the left side of the door?,me aka samu a gefen hagu na kofar?,what is found a gefen hagu na door?,wardrobe,image925
what is on the wall?,me ke jikin bango?,what is a jikin bango?,picture,image805
what is the object in front of the table?,menene abin da ke gaban tebur?,what is the object da ke gaban teburin?,chair,image4
what is at the right side of the bed?,me ke gefen dama na gadon?,what is at gefen dama na bed?,cabinet,image1052
what is kept on the floor to the left side of the light switch?,menene aka ajiye a ?asa zuwa gefen hagu na ma?allin wuta?,menene aka ajiye on the floor to the left side of the light switch?,picture,image1030
what is found on the cabinet?,me ake samu a majalisar ministoci?,me ake samu on the cabinet?,computer,image1150
what is found at the bottom left corner?,me aka samo a kusurwar hagu na ?asa?,me aka samo at the bottom left corner?,chair,image1059
what is on the table?,menene akan teburin?,what is akan teburin?,"book, carton, bottle",image1373
what is on the wall?,me ke jikin bango?,what is a jikin bango?,picture,image1167
what is the object close to the counter?,menene abu kusa da counter?,what is the object kusa da counter?,stove,image877
what is kept on the table cloth?,me aka ajiye akan teburin tebur?,what is kept akan teburin cloth?,newspapers,image773
what are the objects on the shelves?,menene abubuwan da ke kan shelves?,what are the objects da ke kan shelves?,books,image646
what is behind the chandelier?,me ke bayan chandelier?,me ke bayan chandelier?,blinds,image783
what is the object on the floor in front of the sofa?,menene abinda ke kasa a gaban sofa?,what is abinda ke kasa in front of the sofa?,table,image601
what is the white object on the while wall?,menene farin abu akan bangon yayin?,what is farin abu akan while wall?,paper_rack,image10
how many black chairs are there?,Bakar kujeru nawa ne?,how many bakaken kujeru are there?,three,image1440
what is in front of the sofa?,menene a gaban sofa?,what is a gaban sofa?,table,image1331
what is to the right of the printer?,menene hannun dama na firinta?,what is a hannun dama na printer?,plastic_box,image409
what is the colour of the sink top?,menene kalar saman kwankwason?,what is the kalar sink top?,white,image695
what are the things on the cabinet?,menene abubuwa a majalisar ministocin?,what are the things da ke kan cabinet?,"lamp, telephone",image1188
what are around the table?,menene a kusa da tebur?,what are around da tebur?,chair,image1387
what is in the wall?,me ke cikin bango?,me ke in the wall?,picture,image292
what is the colour of the wall?,menene kalar bangon?,what is the kalar bangon?,pink,image1077
what object is found on the left side?,wane abu aka samu a gefen hagu?,what object aka samu a gefen hagu?,electric_mixer,image855
what is on the chair?,menene akan kujera?,what is akan kujera?,bag,image984
what is behind the table?,me ke bayan teburin?,what is ke bayan teburin?,shelves,image286
what is at the left of the cabinet?,me ke hannun hagu na majalisar ministoci?,me ke hannun hagu of the cabinet?,bed,image1123
what is the object close to the wall?,menene abin da ke kusa da bango?,what is the object da ke kusa da wall?,poster_board,image992
what are the objects found near the table?,menene abubuwan da aka samu kusa da tebur?,what are the objects found kusa da tebur?,chair,image801
what are found on the sink?,me ake samu a cikin kwandon shara?,me ake samu on the sink?,"toy, vase",image666
what is in front of the bed?,me ke gaban gadon?,what is gaban gadon?,chair,image418
what is to the right of the chairs inside the room?,me hannun dama kujerun dake cikin dakin?,what is to the right of the chairs dake cikin dakin?,door,image1255
what is the colour of the telephone?,menene kalar wayar?,what is kalar telephone?,black,image27
what is inside the container?,me ke cikin kwandon?,what is ke cikin container?,"sticks, rope",image496
what is the object on the floor in front of the wall?,menene abinda ke kasa a gaban bango?,what is the object on the floor a gaban bango?,bed,image1040
what is on the wall?,me ke jikin bango?,what is ke jikin bango?,papers,image305
what objects are found on the table?,Wadanne abubuwa ne aka samu akan tebur?,what objects are found akan tebur?,"lamp, photo, toy",image1233
